Source,Target
A+ (programming language),K (programming language)
ABC (programming language),Python (programming language)
ABSYS,Prolog
ALGOL 60,Simula
ALGOL 60,Combined Programming Language
ALGOL 60,Pascal (programming language)
ALGOL 60,Ada (programming language)
ALGOL 60,C (programming language)
ALGOL 68,C (programming language)
ALGOL 68,C++
ALGOL 68,Bourne shell
ALGOL 68,Bash (Unix shell)
ALGOL 68,Python (programming language)
ALGOL 68,Seed7
ALGOL 68,Mary (programming language)
ALGOL 68,S3 (programming language)
ALGOL W,Pascal (programming language)
ALGOL W,Modula-2
APL (programming language),Go (programming language)
APL (programming language),J (programming language)
APL (programming language),K (programming language)
APL (programming language),MATLAB
APL (programming language),Nial
APL (programming language),Polymorphic Programming Language
APL (programming language),Q (programming language from Kx Systems)
APL (programming language),S (programming language)
APL (programming language),Wolfram Language
AS/400 Control Language,Windows PowerShell
AWK,Tcl
AWK,AMPL
AWK,Perl
AWK,Lua (programming language)
A Sharp (Axiom),Aldor
ActionScript,Haxe
Ada (programming language),C++
Ada (programming language),Chapel (programming language)
Ada (programming language),Eiffel (programming language)
Ada (programming language),Java (programming language)
Ada (programming language),Nim (programming language)
Ada (programming language),PL/SQL
Ada (programming language),Ruby (programming language)
Ada (programming language),Rust (programming language)
Ada (programming language),Seed7
Agda (theorem prover),Idris (programming language)
Alef (programming language),Limbo (programming language)
Alef (programming language),Rust (programming language)
Alef (programming language),Go (programming language)
BASIC,COMAL
BASIC,Visual Basic
BASIC,Visual Basic .NET
BASIC,GRASS (programming language)
BASIC,AutoIt
BASIC,AutoHotkey
BASIC,Ring (programming language)
BCPL,B (programming language)
BCPL,C (programming language)
BCPL,Go (programming language)
B (programming language),C (programming language)
Boo (programming language),Genie (programming language)
Boo (programming language),Vala (programming language)
C++,Ada (programming language)
C++,C Sharp (programming language)
C++,Chapel (programming language)
C++,D (programming language)
C++,Java (programming language)
C++,Lua (programming language)
C++,Perl
C++,PHP
C++,Python (programming language)
C++,Rust (programming language)
C++,Nim (programming language)
CLU (programming language),Ada (programming language)
CLU (programming language),Argus (programming language)
CLU (programming language),C++
CLU (programming language),Lua (programming language)
CLU (programming language),Python (programming language)
CLU (programming language),Ruby (programming language)
CLU (programming language),Sather
CLU (programming language),Swift (programming language)
COBOL,PL/I
COBOL,Programming Language for Business
COMIT,SNOBOL
COMTRAN,COBOL
COWSEL,POP-2
CPL (programming language),BCPL
CPL (programming language),POP-2
C (programming language),AMPL
C (programming language),AWK
C (programming language),C++
C (programming language),C--
C (programming language),C Sharp (programming language)
C (programming language),Objective-C
C (programming language),D (programming language)
C (programming language),Go (programming language)
C (programming language),Java (programming language)
C (programming language),JavaScript
C (programming language),Julia (programming language)
C (programming language),Limbo (programming language)
C (programming language),LPC (programming language)
C (programming language),Perl
C (programming language),PHP
C (programming language),Pike (programming language)
C (programming language),Processing (programming language)
C (programming language),Python (programming language)
C (programming language),Ring (programming language)
C (programming language),Rust (programming language)
C (programming language),Seed7
C (programming language),Vala (programming language)
C (programming language),Verilog
C Sharp (programming language),Chapel (programming language)
C Sharp (programming language),Crystal (programming language)
C Sharp (programming language),D (programming language)
C Sharp (programming language),J Sharp
C Sharp (programming language),Dart (programming language)
C Sharp (programming language),F Sharp (programming language)
C Sharp (programming language),Hack (programming language)
C Sharp (programming language),Java (programming language)
C Sharp (programming language),Kotlin (programming language)
C Sharp (programming language),Nemerle
C Sharp (programming language),Oxygene (programming language)
C Sharp (programming language),Ring (programming language)
C Sharp (programming language),Rust (programming language)
C Sharp (programming language),Swift (programming language)
C Sharp (programming language),Vala (programming language)
Caml,F Sharp (programming language)
Clean (programming language),Haskell (programming language)
Clojure,Elixir (programming language)
CoffeeScript,LiveScript
Combined Programming Language,BCPL
Combined Programming Language,POP-2
Common Lisp,Clojure
Common Lisp,Dylan (programming language)
Common Lisp,Emacs Lisp
Common Lisp,ISLISP
Common Lisp,Julia (programming language)
Common Lisp,R (programming language)
Cool (programming language),OCaml
Cyclone (programming language),Rust (programming language)
DBase,Clipper (programming language)
DBase,Harbour (software)
DBase,FoxPro
DIGITAL Command Language,Windows PowerShell
D (programming language),Vala (programming language)
D (programming language),Swift (programming language)
D (programming language),Genie (programming language)
Dylan (programming language),Lasso (programming language)
Dylan (programming language),Python (programming language)
Dylan (programming language),Ruby (programming language)
Eiffel (programming language),Ada (programming language)
Eiffel (programming language),C Sharp (programming language)
Eiffel (programming language),D (programming language)
Eiffel (programming language),Java (programming language)
Eiffel (programming language),Lisaac
Eiffel (programming language),Racket (programming language)
Eiffel (programming language),Ruby (programming language)
Eiffel (programming language),Sather
Eiffel (programming language),Scala (programming language)
Emerald (programming language),Java (programming language)
Emerald (programming language),Singularity (operating system)
Epigram (programming language),Idris (programming language)
Erlang (programming language),F Sharp (programming language)
Erlang (programming language),Clojure
Erlang (programming language),Rust (programming language)
Erlang (programming language),Scala (programming language)
Erlang (programming language),Opa (programming language)
Erlang (programming language),Reia (programming language)
Erlang (programming language),Elixir (programming language)
Erlang (programming language),Dart (programming language)
Erlang (programming language),Oz (programming language)
Es (Unix shell),Es (Unix shell)
Etoys (programming language),Scratch (programming language)
Euclid (programming language),Mesa (programming language)
Euclid (programming language),Turing (programming language)
FFP (programming language),FL (programming language)
FFP (programming language),Haskell (programming language)
FFP (programming language),J (programming language)
FLOW-MATIC,MATH-MATIC
FLOW-MATIC,COBOL
FL (programming language),J (programming language)
FP (programming language),FL (programming language)
FP (programming language),Haskell (programming language)
FP (programming language),J (programming language)
F Sharp (programming language),C Sharp (programming language)
F Sharp (programming language),Elm (programming language)
F Sharp (programming language),F* (programming language)
F Sharp (programming language),LiveScript
Forth (programming language),Factor (programming language)
Forth (programming language),PostScript
Forth (programming language),RPL (programming language)
Forth (programming language),REBOL
Fortran,ALGOL 58
Fortran,BASIC
Fortran,C (programming language)
Fortran,Chapel (programming language)
Fortran,CMS-2 (programming language)
Fortran,PL/I
Fortran,MUMPS
Fortran,Ratfor
Go (programming language),Crystal (programming language)
Gosu (programming language),Kotlin (programming language)
Groovy (programming language),Kotlin (programming language)
Harbour (software),XHarbour
Haskell (programming language),C Sharp (programming language)
Haskell (programming language),Cayenne (programming language)
Haskell (programming language),Clean (programming language)
Haskell (programming language),Clojure
Haskell (programming language),CoffeeScript
Haskell (programming language),Curry (programming language)
Haskell (programming language),Elm (programming language)
Haskell (programming language),Epigram (programming language)
Haskell (programming language),Escher (programming language)
Haskell (programming language),F Sharp (programming language)
Haskell (programming language),Frege (programming language)
Haskell (programming language),Hack (programming language)
Haskell (programming language),Idris (programming language)
Haskell (programming language),Java (programming language)
Haskell (programming language),LiveScript
Haskell (programming language),Mercury (programming language)
Haskell (programming language),Perl 6
Haskell (programming language),Python (programming language)
Haskell (programming language),Rust (programming language)
Haskell (programming language),Scala (programming language)
