Id,Year,Label
A+ (programming language),1988,A+ (programming language)
ABC (programming language),Could not determine year,ABC (programming language)
ABSYS,1967,ABSYS
ALGOL 58,1958,ALGOL 58
ALGOL 60,1960,ALGOL 60
ALGOL 68,1968,ALGOL 68
ALGOL W,1966,ALGOL W
AMPL,1985,AMPL
APL (programming language),1964,APL (programming language)
AS/400 Control Language,Could not determine year,AS/400 Control Language
AWK,1977,AWK
A Sharp (Axiom),1971,A Sharp (Axiom)
ActionScript,1998,ActionScript
Ada (programming language),1980,Ada (programming language)
Agda (theorem prover),2007,Agda (theorem prover)
Alef (programming language),1992,Alef (programming language)
AmbientTalk,2006,AmbientTalk
BASIC,1964,BASIC
BCPL,1967,BCPL
B (programming language),1969,B (programming language)
Boo (programming language),2003,Boo (programming language)
Boomerang (programming language),2008,Boomerang (programming language)
C++,1985,C++
CLU (programming language),1975,CLU (programming language)
COBOL,1959,COBOL
COMIT,1957,COMIT
COMTRAN,1957,COMTRAN
COWSEL,1964,COWSEL
CPL (programming language),1963,CPL (programming language)
C (programming language),1972,C (programming language)
C Sharp (programming language),2000,C Sharp (programming language)
Caml,1985,Caml
Cilk,1994,Cilk
Clean (programming language),1987,Clean (programming language)
Clojure,2007,Clojure
CoffeeScript,2009,CoffeeScript
ColdFusion Markup Language,1995,ColdFusion Markup Language
Combined Programming Language,1963,Combined Programming Language
Common Lisp,1984,Common Lisp
Cool (programming language),1996,Cool (programming language)
Cyclone (programming language),2002,Cyclone (programming language)
DBase,1979,DBase
DIGITAL Command Language,Could not determine year,DIGITAL Command Language
DRAKON,1996,DRAKON
D (programming language),2001,D (programming language)
Dylan (programming language),1992,Dylan (programming language)
ELAN (programming language),1974,ELAN (programming language)
E (programming language),1997,E (programming language)
Eiffel (programming language),1986,Eiffel (programming language)
Elixir (programming language),2011,Elixir (programming language)
Elm (programming language),2012,Elm (programming language)
Emerald (programming language),1980,Emerald (programming language)
Epigram (programming language),2004,Epigram (programming language)
